HR,Flam,Bayer,Con,Dbl,Cmp,RA,m,s,,Dec m,,s,Vmag,B_V,U-B,Spec. Type,pmRA,pmD,Parallax,RV
7170,,,,,A,19,1,4.3,S,37,3,43,6.4,-0.03,,  B8V-IV,0.01,-0.04,,-15
7171,,,,,,18,58,45.1,N,19,47,39,6.5,-0.04,-0.43,  B7III-IV,0.004,-0.004,,-1
7172,11,,Aql,1902,,18,59,5.7,N,13,37,21,5.23,0.53,0.07,  F8V,0.014,-0.123,0.039,16
7173,,,,,,18,59,17.5,N,10,8,27,6.75,0.25,-0.43,  B2Vp,0.025,-0.011,,-15
7174,,,,,,18,58,1.9,N,38,15,58,5.89,-0.17,-0.52,  B7IV,0.001,0,,-28
7175,48,,Dra,,,18,56,45,N,57,48,54,5.66,1.15,1.19,  K1III,-0.029,-0.062,0.018,-34
7176,13,Eps,Aql,,,18,59,37.4,N,15,4,6,4.02,1.08,1.04,  K1-III,-0.051,-0.073,0.028,-48
7177,,,,,,19,2,8.7,S,41,54,36,6.23,0,,  A0V,0.048,0.002,,-13
7178,14,Gam,Lyr,1908,,18,58,56.6,N,32,41,22,3.24,-0.05,-0.09,  B9III,-0.002,0.002,0.021,-21
7179,,,,1910,,18,58,46.6,N,40,40,45,6.22,-0.16,-0.65,  B3V,0.008,0,,-14
7180,52,Ups,Dra,,,18,54,23.9,N,71,17,50,4.82,1.15,1.1,  K0III,0.049,0.044,0.014,-7
7181,,,,,,18,59,45.5,N,26,13,50,5.27,1.24,1.27,  K2III,0.088,-0.008,-0.002,-24
7182,,,,,,19,1,37.8,S,22,41,44,6.24,1.66,,  K5,0.004,0,,-14
7183,,,,,,18,59,58.1,N,22,48,53,6.29,1.75,2,  M3.5IIIab,-0.022,0.012,,-53
7184,,,,1897,,18,57,28.4,N,58,13,31,6.46,0.08,0.05,  A2IV,0.014,0.047,-0.008,-8
7185,,,,,,18,59,12.3,N,39,13,4,6.41,-0.17,-0.7,  B5IV,0.002,0.012,,-14
7186,,,,,,19,1,33.5,S,15,16,57,6.32,1,0.78, gG6,0,0.003,,20
7187,,,,,,18,56,25.6,N,65,15,29,5.63,0.95,0.69,  G8III,-0.028,-0.032,-0.002,-5
7188,,Zet,CrA,,,19,3,6.9,S,42,5,43,4.75,-0.02,-0.07,  B9.5V,0.061,-0.049,0.031,-13
7189, NO,VA 1,899,,,,,,,,,,,,,,,,,
7190,,,,,,19,3,57.4,S,51,1,7,5.93,1.24,1.38,  K0-1III,0.028,-0.146,,-61
7191,,,,1901,,18,57,17.4,N,62,23,48,6.45,0.93,0.66,  G5IV+G8V,0.006,-0.039,,-8
7192,15,Lam,Lyr,,,19,0,0.9,N,32,8,44,4.93,1.47,1.67,  K2.5III,0.013,0.013,-0.003,-16
7193,12,,Aql,,,19,1,40.8,S,5,44,20,4.02,1.09,1.04,  K1III,-0.019,-0.033,0.021,-44
7194,38,Zet,Sgr,1950,,19,2,36.7,S,29,52,49,2.6,0.08,0.06,  A2III+A4IV,-0.015,-0.002,0.025,22
7195,,,,,,19,2,27.7,S,24,50,49,5.65,1.23,,  K3III,-0.022,-0.175,,2
7196,,,,,,18,58,59.6,N,50,48,34,6.3,0.98,,  G8III,0.024,0.018,,-21
7197,,,,,,19,3,17.7,S,38,15,12,5.74,0.32,,  F0IIIn,0.013,0.009,,4
7198,,,,,,19,1,5.5,N,19,18,35,6.39,,,  K1III,0.018,0.002,,-29
7199,,,,1870,,18,53,33.2,N,75,47,15,6.22,,,  A1V,0.013,0.024,-0.004,-17
7200,,,,,,19,1,22.6,N,20,50,1,6.69,0.02,-0.69,  B2IV-V,0.007,0.017,,-10
7201,,,,,,19,0,19,N,40,41,3,6.65,,,  M4IIIa,0.002,-0.011,,-5
7202,,,,,,19,1,17.4,N,26,17,29,5.69,-0.08,-0.54,  B5V,0,-0.011,0.009,-14
7203,,,,1972,,19,3,3.8,S,19,14,43,6.05,1.29,1.09,  G6III,0.007,0.006,,-20
7204,,,,,,19,0,55.2,N,33,48,8,6.01,0.97,, gK0,0.007,0.003,,-28
7205,,,,,,19,3,7,S,19,6,12,6.37,0.48,,  F5IV-V,0.007,-0.015,,19
7206,,,,,,19,1,34.9,N,25,1,33,6.72,,,  K2,-0.001,0,,-21
7207,,,,,,19,1,49.5,N,22,15,50,6.4,0.16,?,  A4V,0.021,-0.008,,-38
7208,,,,,,19,2,21.6,N,8,22,27,6.3,1.67,1.73,  K2III,0.026,0.022,,-9
7209,14,,Aql,,,19,2,54.5,S,3,41,56,5.42,0,-0.07,  A1V,0.023,0.007,,-39
7210,,,,,,19,0,13.7,N,50,32,1,5.38,-0.18,-0.75,  B2.5IV,0.009,0.005,,-19
7211,,,,,,19,4,25.1,S,31,2,49,5.5,0.03,,  A0IV,0.014,-0.016,,-26
7212,,,,1965,,19,1,48.3,N,33,37,17,6.39,-0.12,-0.62,  B5IV,-0.003,0.003,,-23
7213,,Rho,Tel,,,19,6,19.9,S,52,20,27,5.16,0.53,0.04,  F7V,0.03,-0.118,0.022,2
7214,,,,,,19,3,32.2,N,1,49,8,5.83,0.18,0.1,  A4V,0.006,-0.067,,-22
7215,16,,Lyr,1964,,19,1,26.4,N,46,56,5,5.01,0.19,0.08,  A7V,0.02,-0.084,0.036,8
7216,,,,,,19,2,52.6,N,19,39,40,6.09,1.34,,  K1III,0.004,-0.001,,-7
7217,39,Omi,Sgr,1996,,19,4,41,S,21,44,30,3.77,1.01,0.85,  G9IIIb,0.08,-0.06,0.044,25
7218,49,,Dra,,,19,0,43.4,N,55,39,30,5.48,0.86,,  G5.5IIb,-0.016,-0.006,,10
7219,,,,,,19,4,10.7,N,3,19,50,6.73,0.13,0.14,  A5m,0.007,0.013,,-13
7220,,,,,,19,4,24.2,S,5,41,6,6.9,4.19,,  C5II,0.02,-0.005,,37
7221,,,,,,19,9,52.7,S,68,25,29,5.33,0.91,0.61,  G8-K0III-IV,0.145,-0.052,0.03,-10
7222,,,,,,19,3,42.5,N,21,16,4,6.52,0.32,?,  F2III,0.022,-0.021,,5
7223,,,,,,19,6,55.6,S,48,17,57,5.97,-0.02,-0.02,  A0V,0.016,-0.016,,-6
7224,,,,,,18,58,52.6,N,69,31,52,6.52,-0.15,-0.53,  A0pSi,0.005,0.004,,-15
7225,15,,Aql,2007,A,19,4,57.6,S,4,1,53,5.42,1.12,1.01,  K1III,0.02,-0.027,0.002,-18
7226,,Gam,CrA,,,19,6,25.1,S,37,3,48,4.93,0.52,0,  F8V,0.096,-0.274,0.054,-52
7227,,Gam,CrA,,,19,6,25.1,S,37,3,48,4.99,0.52,0,  F8V,0.096,-0.274,0.054,-52
7228,,Sig,Oct,,,21,8,46.2,S,88,57,23,5.47,0.27,0.13,  F0III,0.023,0.005,,12
7229,,,,1979,,19,2,7,N,52,15,40,6.31,1,,  G8III,-0.007,-0.026,0.005,4
7230,,,,,,19,5,41.2,S,15,39,37,5.97,-0.02,-0.25,  B9V,0.003,-0.007,,-26
7231,,,,,,19,5,18.6,S,1,30,46,6.53,0.35,-0.04,  F1V,-0.003,-0.007,,-32
7232,,,,,,19,6,52.5,S,37,48,37,6.16,0.72,0.28,  G5IV,-0.184,-0.352,0.063,59
7233,,,,,,19,8,52.1,S,55,43,13,6.49,1.1,,  K1III,0.031,-0.11,,-21
7234,40,Tau,Sgr,,,19,6,56.4,S,27,40,14,3.32,1.19,1.15,  K1+IIIb,-0.053,-0.251,0.044,45
7235,17,Zet,Aql,2026,,19,5,24.6,N,13,51,48,2.99,0.01,-0.01,  A0Vn,-0.005,-0.096,0.045,-25
7236,16,Lam,Aql,,,19,6,14.9,S,4,52,57,3.44,-0.09,-0.27,  B9Vn,-0.017,-0.09,0.032,-12
7237,,,,,,19,4,57.9,N,31,44,40,5.56,1.54,1.91,  M0III,0.076,-0.067,0.018,6
7238,,,,,,19,4,58.3,N,30,44,0,6.06,1.55,1.88,  M2.5IIIab,0.03,-0.022,,-16
7239,,,,2039,,19,6,52.3,S,16,13,44,6.03,-0.04,-0.35,  B8IV,0.021,0.004,,-17
7240,,,,,,19,7,30.9,S,28,38,13,6.04,1.61,,  K3III,0.008,-0.01,,5
7241,,,,,,19,7,8.5,S,18,44,16,6.29,-0.04,-0.41,  B8III,0.019,-0.004,,-11
7242,,Del,CrA,,,19,8,20.9,S,40,29,48,4.59,1.09,1.03,  K1III,0.037,-0.026,0.016,20
7243,,,,,,19,6,22.2,N,8,13,48,6.09,1.6,0.37,  M7IIIe,0.006,-0.071,,32
7244,,,,,,19,5,47.1,N,29,55,18,6.31,1.65,1.98,  M0III,-0.005,-0.009,,-28
7245,,,,,,19,7,9.1,N,0,38,30,6.56,0.05,-0.28,  B9III,0.003,0.009,,-11
7246,,,,,,19,8,14.6,S,24,39,25,6.3,0.04,-0.24,  B9III,0.018,0.005,,-13
7247,,,,,,18,57,57.2,N,77,3,3,6.54,0.38,-0.06,  F2V,-0.039,-0.064,,-27
7248,18,,Aql,,,19,6,58.6,N,11,4,17,5.09,-0.07,-0.39,  B8III,0.005,-0.026,0.016,-19
7249,,,,,,19,8,16.7,S,19,17,24,5.54,-0.11,-0.78,  B2Ve,0.006,0.008,,-20
7250,,,,,,19,6,38.4,N,24,15,3,5.77,0.09,?,  A4III,0.055,0.015,,-22
7251,51,,Dra,,,19,4,55.2,N,53,23,48,5.38,-0.01,-0.08,  A0Vn,-0.003,0.025,0.023,-24
7252,,,,2034,,19,5,9.9,N,49,55,24,6.43,,,  K3III,-0.004,0.014,,8
7253,,,,,,19,6,37.7,N,28,37,43,5.55,0.29,0.04,  F0III,0.076,0.085,0.025,-24
7254,,Alp,CrA,,,19,9,28.3,S,37,54,16,4.11,0.04,0.08,  A2V,0.084,-0.098,0.036,-18
7255,,,,,,19,9,39.7,S,39,49,41,6.46,1.06,,  K0III,-0.001,-0.049,,17
7256,,,,,,19,9,36.4,S,36,9,53,6.56,-0.02,,  A0IV,-0.008,-0.013,,-11
7257,,,,,,19,9,57.8,S,41,53,33,5.88,-0.08,-0.46,  B6V+F1IV,0.01,-0.02,,13
7258,,,,,,19,6,17,N,41,24,50,6.49,-0.15,-0.64,  B3V,0.003,-0.002,,-21
7259,,Bet,CrA,,,19,10,1.7,S,39,20,27,4.11,1.2,1.07,  K0II,0.003,-0.038,0.016,3
7260,,,,,,19,7,57.3,N,16,51,12,6.07,0.7,0.27,  G5V,0.06,-0.306,0.059,14
7261,17,,Lyr,2061,,19,7,25.6,N,32,30,6,5.23,0.34,0.07,  F0V,0.13,0.023,0.017,4
7262,18,Iot,Lyr,,,19,7,18.1,N,36,6,1,5.28,-0.11,-0.51,  B6IV,0.001,-0.004,,-18
7263,,,,,,19,8,3.6,N,21,41,56,6.23,0.4,0.01,  F3V,0.051,0.074,0.008,-40
7264,41,Pi,Sgr,,,19,9,45.8,S,21,1,25,2.89,0.35,0.22,  F2II,0,-0.035,0.026,-10
7265,,,,2096,,19,9,48.1,S,19,48,13,6.13,1.16,1.13,  K1III,0.02,-0.079,0.004,30
7266,19,,Aql,,,19,8,59.9,N,6,4,24,5.22,0.35,0.04,  F0III-IV,-0.006,-0.076,0.032,-47
7267,,,,,,19,8,40.2,N,16,51,5,6.48,0.52,0.25,  F5IV-V,-0.036,-0.104,0.018,10
7268,,,,,,19,11,1.8,S,39,0,18,6.36,0.01,,  B7IIIMn,-0.011,-0.018,,-5
7269,,,,,,19,9,51.6,S,0,25,41,6.34,-0.04,-0.49,  B5Vn,0.006,-0.006,,-11
7270,,,,,,19,11,18.9,S,29,30,8,6.3,-0.04,,  B9,0.033,-0.018,,-14
7271,,,,,,19,12,46.1,S,50,29,11,6.13,0.95,,  G8III,0.04,-0.044,,-26
7272,,,,2101,,19,9,4.4,N,34,36,2,6.74,0.63,0.15,  G1V,0.053,0.195,0.025,-41
7273,,,,,,19,12,9.8,S,37,34,58,6.57,1.02,,  G2III,0.01,0.008,,-39
7274,,Tau,Pav,,,19,16,28.5,S,69,11,26,6.27,0.17,0.14,  A6IV-V,0,-0.024,,-18
7275,,,,,,19,8,25.8,N,52,25,32,5.81,1.09,0.87,  K1IV,-0.099,-0.059,0.002,4
7276,,,,,,19,12,28,S,21,39,29,6.41,1.13,, gG8,0.027,-0.012,,-5
7277,,,,,,19,13,13.7,S,25,54,24,5.8,1.38,1.42,  K1I,-0.002,-0.006,,3
7278,,,,,,19,17,12,S,66,39,41,5.53,0.18,0.13,  A5V+A8V,-0.002,-0.021,,12
7279,20,,Aql,,,19,12,40.7,S,7,56,22,5.34,0.13,-0.44,  B3V,0.016,-0.006,,-15
7280,,,,,,19,11,30.9,N,26,44,9,6.36,0.41,-0.03,  F5V,0.023,-0.036,,-27
7281,,,,,,19,14,39.7,S,45,11,36,5.92,0.9,,  G8III,0.059,-0.036,0.022,-35
7282,,,,,,19,13,15.5,S,12,16,57,5.51,1.44,, gK4,0.012,-0.027,,-18
7283,19,,Lyr,,,19,11,46,N,31,17,0,5.98,-0.07,-0.3,  B9pSi,-0.002,-0.003,,-30
7284,,,,,,19,11,23.1,N,40,25,45,6.18,0.09,0.1,  A3V,0,-0.023,,6
7285,,,,2160,,19,12,34.4,N,16,50,47,6.73,-0.01,-0.28,  B9IV,-0.006,-0.015,0.007,-18
7286,,,,,,19,12,36.7,N,21,33,16,5.93,0.03,0.02,  A2Vn,0.005,-0.002,,-13
7287,21,,Aql,2182,,19,13,42.7,N,2,17,37,5.15,-0.07,-0.41,  B8II-III,0.009,-0.003,0.009,-5
7288,,,,,,19,13,44.1,N,5,30,57,6.49,0.09,0.11,  A2Vp,0.016,-0.006,,9
7289,,,,,,19,16,21.7,S,45,27,59,5.4,1.35,,  K3III,-0.003,0.002,0.01,6
7290,55,,Dra,,,19,9,45.8,N,65,58,43,6.25,0,-0.02,  A0V,0.001,0.03,,-22
7291,,,,,,19,15,33.2,S,24,10,45,6.25,0.54,0.09,  F9V,0.116,-0.095,0.023,-26
7292,42,Psi,Sgr,2214,,19,15,32.4,S,25,15,24,4.85,0.56,0.32,  G8:III+A8V,0.045,-0.025,0.005,-33
7293,,,,2169,B,19,12,4.6,N,49,51,15,6.75,0.65,0.19,  G4V,-0.19,0.637,0.044,-41
7294,,,,2169,A,19,12,5,N,49,51,22,6.57,0.65,0.21,  G4V,-0.21,0.635,0.044,-38
7295,53,,Dra,,,19,11,40.5,N,56,51,33,5.12,1.01,0.84,  G8III,0.039,0.048,0.012,-16
7296,,,,,,19,16,32.8,S,33,31,18,6.25,0.02,-0.07,  G0Ipe,0.012,0.024,,-23
7297,,,,,,19,18,9.4,S,53,23,12,6.38,0.49,0,  F7V,-0.013,-0.065,,-24
7298,20,Eta,Lyr,2197,,19,13,45.5,N,39,8,46,4.39,-0.15,-0.65,  B2.5IV,0.004,0.002,0.002,-8
7299,,,,,,19,15,2.6,N,20,12,12,6,0.88,,  G8III,-0.012,0,,7
7300,,,,,,19,15,20.1,N,15,5,1,5.57,1.07,0.87,  G8II-III,0.002,-0.011,,-25
7301,1,,Sge,,,19,15,17.4,N,21,13,56,5.64,0.11,,  A4V,0.039,0.012,,-23
7302,,,,,,19,15,24.8,N,30,31,35,5.85,1.67,2.03,  M0III,0.029,-0.023,,-63
7303,22,,Aql,,,19,16,31,N,4,50,5,5.59,0.08,0.11,  A3IV,0.015,-0.016,0.016,-23
7304,43,,Sgr,,,19,17,38.1,S,18,57,11,4.96,1.02,0.8,  G8II-III,-0.012,-0.014,0.006,15
7305,,,,2239,,19,15,57,N,27,27,20,6.54,-0.06,-0.59,  B8V,0.007,-0.018,0.002,-9
7306,1,,Vul,2243,,19,16,13,N,21,23,25,4.77,-0.05,-0.54,  B4IV,0,-0.009,0.017,-17
7307,,,,2248,,19,16,26.8,N,14,32,41,5.63,-0.02,-0.16,  B9.5V,0.01,0.009,0.021,-19
7308,,,,,,19,15,59.4,N,27,55,37,6.16,0.61,0.34,  F6Ib-II,0.001,0.022,,-16
7309,54,,Dra,,,19,13,55.2,N,57,42,18,4.99,1.16,1.17,  K2III,-0.01,-0.07,0.025,-27
7310,57,Del,Dra,,,19,12,33.3,N,67,39,42,3.07,1,0.78,  G9III,0.094,0.093,0.032,25
7311,,,,2240,,19,15,19.3,N,50,4,15,6.27,,,  G8III,0.005,-0.003,,6
7312,59,,Dra,,,19,9,9.8,N,76,33,38,5.13,0.31,0,  A9V,0.047,-0.123,0.049,-4
7313,,,,,,19,17,48.2,N,2,1,54,6.19,0.02,0.01,  A1Vn,-0.004,-0.03,,-23
7314,21,The,Lyr,,,19,16,22.1,N,38,8,1,4.36,1.26,1.23,  K0+II,-0.001,0.004,0.013,-31
7315,25,Ome1,Aql,,,19,17,49,N,11,35,43,5.28,0.2,0.22,  F0IV,0.003,0.013,0.014,-14
7316,,,,,,19,19,40,S,35,25,17,5.59,-0.13,-0.56,  B3V,0.007,-0.013,,2
7317,,,,,,19,19,0.1,S,15,32,11,6.06,1.43,1.57,  K3III,-0.091,-0.267,0.041,-18
7318,2,,Vul,2287,,19,17,43.6,N,23,1,32,5.43,0.02,-0.79,  B0.5IV,0.001,-0.005,0.007,1
7319,23,,Aql,2289,,19,18,32.5,N,1,5,7,5.1,1.15,1.01,  K2II-III,0.01,0.019,0.003,-24
7320,,,,,,19,24,5.4,S,68,22,16,6.34,1.23,1.25,  K2III,-0.026,-0.003,,-20
7321,24,,Aql,,,19,18,50.9,N,0,20,21,6.41,1.05,0.79,  K0-IIIa,0.012,0.012,0.01,-29
7322,,,,,,19,16,51.4,N,46,59,57,6,0.44,-0.01,  F6IV:,-0.008,0.295,0.018,-44
7323,,,,,,19,20,26.2,S,31,49,4,6.58,1.67,2,  M0III,-0.004,0.004,,-7
7324,,,,,,19,18,0.8,N,31,1,20,6.68,0.08,0.13,  A3V,-0.004,0.02,,-25
7325,,,,,,19,18,52.7,N,9,37,5,6.32,1.05,0.89,  G9III,0.003,-0.039,,-12
7326,,,,,,19,18,48.5,N,19,36,38,6.58,0.03,-0.38,  B8III+K,0.022,0.002,,-17
7327,,,,,,19,20,38.1,S,22,24,9,5.58,0.27,,  F0III:,-0.015,0.035,,-6
7328,1,Kap,Cyg,,,19,17,6.2,N,53,22,7,3.77,0.96,0.74,  G9III,0.059,0.125,0.024,-29
7329,,Eta,Tel,,,19,22,51.1,S,54,25,25,5.05,0.02,,  A0Vn,0.015,-0.072,0.02,13
7330,,,,,,19,21,29.9,S,34,59,2,6.48,0.63,0.11,  G5V,0.106,-0.099,,-10
7331,28,,Aql,,,19,19,39.3,N,12,22,29,5.53,0.26,0.18,  F0III,0.008,0.021,0.004,3
7332,29,Ome2,Aql,,,19,19,53,N,11,32,6,6.02,0.08,0.07,  A2V,0.042,0.026,0.001,-26
7333,26,,Aql,,,19,20,32.9,S,5,24,57,5.01,0.92,0.63,  G8III-IV,0.116,0.048,0.03,-19
7334,,,,,,19,22,9.6,S,42,0,58,6.34,1.14,,  K1III,-0.05,-0.034,,93
7335,,,,,,19,19,3.8,N,33,23,20,6.6,-0.19,-0.89,  B2IVe,-0.01,-0.033,,10
7336,27,,Aql,,,19,20,35.7,S,0,53,32,5.49,-0.04,-0.23,  B9III,0.006,0.006,0.008,-27
7337,,Bet1,Sgr,,,19,22,38.3,S,44,27,32,4.01,-0.1,-0.39,  B9V,0.009,-0.02,,-11
7338,,,,,,19,19,1.2,N,37,26,43,6.22,-0.03,-0.09,  A0III,0.014,0.017,,-14
7339,,,,,,19,21,37.1,S,19,14,3,6.26,-0.1,-0.51,  B5V,0.007,-0.001,,-23
7340,44,Rho1,Sgr,,,19,21,40.4,S,17,50,50,3.93,0.22,0.13,  F0IV-V,-0.024,0.024,0.042,1
7341,,,,,,19,18,37.7,N,49,34,11,6.31,1.12,,  K1III,0.01,0.054,0.003,-14
7342,46,Ups,Sgr,,,19,21,43.6,S,15,57,18,4.61,0.1,-0.53,  B2Vpe+A2Ia,0.002,-0.006,,9
7343,,Bet2,Sgr,,,19,23,13.2,S,44,47,59,4.29,0.34,0.07,  F2III,0.097,-0.054,0.03,19
7344,45,Rho2,Sgr,,,19,21,50.9,S,18,18,30,5.87,1.06,, gG9,0.102,-0.092,,-13
7345,,,,,,19,19,38.9,N,37,19,50,6.31,0.68,0.21,  G8V,-0.066,-0.187,0.038,2
7346,,,,,,19,20,33.1,N,35,11,10,6.31,-0.12,-0.51,  B9V,0.014,0.006,,-18
7347,,,,,,19,22,20.7,S,8,12,4,6.31,-0.1,-0.4,  B3IVp,-0.013,-0.024,,-10
7348,,Alp,Sgr,,,19,23,53.2,S,40,36,58,3.97,-0.1,-0.33,  B8V,0.03,-0.123,,-1
7349,,,,,,19,22,21.5,S,0,15,9,5.83,1.09,0.97, gG8,0.061,-0.025,,-11
7350,,,,,,19,24,21.4,S,43,43,23,6.17,1.6,1.92,  M1-2III,0.024,-0.037,,-17
7351,,,,,,19,19,36.5,N,54,22,34,6.26,0.03,0.04,  A1V,0.018,-0.025,,-5
7352,60,Tau,Dra,,,19,15,33,N,73,21,20,4.45,1.25,1.45,  K2+IIIb,-0.14,0.107,0.015,-30
7353,,,,,,19,23,4.6,S,7,24,1,6.32,1.45,1.69,  K0,0.042,-0.007,,12
7354,,,,,,19,22,48.4,N,9,54,47,6.35,0.44,-0.03,  F6V,0.011,0.109,,-20
7355,,,,,,19,24,30.1,S,27,51,56,6.04,-0.13,-0.67,  B2Vn,0.004,-0.001,,6
7356,,,,,,19,20,16.1,N,57,38,43,5.91,1.58,2.01,  M1IIIab,0.023,0.011,,-21
7357,,,,,,19,23,8.2,N,14,55,16,6.64,0.27,?,  F1V,-0.027,-0.009,,9
7358,3,,Vul,,,19,22,50.9,N,26,15,45,5.18,-0.12,-0.52,  B6III,-0.001,-0.01,,-12
7359,,,,,,19,22,33.4,N,33,31,5,6.06,1.03,,  K0III,0.008,-0.033,,-16
7360,,,,2400,,19,25,4.1,S,29,18,33,5.93,1.26,,  K3III,0.002,-0.051,,25
7361,,,,,,19,19,46.1,N,64,23,27,6.52,-0.04,-0.47,  B9IVp,-0.002,0.01,,-20
7362,47,Chi1,Sgr,,,19,25,16.5,S,24,30,31,5.03,0.23,,  Am,0.056,-0.054,0.035,-42
7363,49,Chi3,Sgr,,,19,25,29.7,S,23,57,44,5.43,1.43,1.67,  K4III,-0.014,-0.005,,40
7364,,,,,,19,23,46.9,N,20,15,52,6.4,0.01,-0.07,  B9.5V,-0.007,0.008,,-29
7365,,,,,,19,21,25.4,N,57,46,1,6.43,,,  K2,0.021,0.042,,7
7366,,,,,,19,25,1.6,S,4,53,3,6.52,0.33,0.12,  A9V,0.054,0.015,,-39
7367,,,,,,19,25,21.6,S,13,53,49,5.69,1.43,1.35,  K3III,0.057,0.066,,-34
7368,,,,,,19,23,34,N,33,13,20,6.37,0.81,0.46,  G8V,0.085,0.168,0.057,-21
7369,2,,Sge,,,19,24,22.1,N,16,56,16,6.25,0.08,0.04,  A2III-IV,-0.003,-0.011,,12
7370,,,,,,19,27,48.1,S,54,19,31,5.69,1.4,1.68,  K4III,-0.006,0.009,,-5
7371,58,Pi,Dra,,,19,20,40.1,N,65,42,53,4.59,0.02,0.06,  A2III s,0.012,0.045,0.02,-29
7372,2,,Cyg,,,19,24,7.6,N,29,37,17,4.97,-0.1,-0.71,  B3IV,0.013,0.013,,-21
7373,31,,Aql,,,19,24,58.2,N,11,56,40,5.16,0.77,0.42,  G8IV,0.722,0.643,0.059,-100
7374,,,,,,19,24,22.4,N,28,5,16,6.53,-0.08,-0.55,  B5V,-0.021,0.003,,-20
7375,50,,Sgr,,,19,26,19.2,S,21,46,36,5.59,1.22,1.2,  K3III,0.04,-0.005,,-20
7376,,,,,,19,24,6.1,N,36,27,7,6.36,,,  K1III,0.01,0.077,,-33
7377,30,Del,Aql,,,19,25,29.9,N,3,6,53,3.36,0.32,0.04,  F3IV,0.257,0.082,0.072,-30
7378,,,,,,19,26,11.1,S,15,3,11,5.72,0.02,-0.34,  B8Vn,0.023,0.01,,-7
7379,,,,,,19,26,24.6,S,14,33,4,6.7,0.05,,  A1V,0.039,-0.006,,-23
7380,,,,,,19,26,56.5,S,29,44,36,5.67,0,-0.1,  B9V,0.018,-0.048,,1
7381,,,,,,19,23,23.8,N,50,16,17,6.51,-0.08,-0.27,  B9III,0,0.012,,-24
7382,,,,,,19,23,56.5,N,43,23,17,5.84,0.92,0.63,  G7III-IIIa,0.017,-0.025,,0
7383,,,,,,19,31,10.9,S,68,26,2,5.96,1.64,1.93,  K4-5III,0.013,-0.019,,-14
7384,,,,,,19,25,22.4,N,20,16,17,6.31,-0.02,-0.08,  A0V,-0.007,-0.027,,-32
7385,4,,Vul,2425,,19,25,28.6,N,19,47,55,5.16,0.98,0.81,  K0III,0.095,-0.063,0.026,-1
7386,,,,,,19,25,25.8,N,24,54,46,6.19,0.51,-0.03,  F7V,-0.175,-0.63,0.027,-4
7387,32,Nu,Aql,,,19,26,31.1,N,0,20,19,4.66,0.6,0.42,  F2Ib,0,0.001,-0.008,-1
7388,,,,,,19,29,52.6,S,55,26,29,6.13,0.98,0.81,  K0-1III,0.023,-0.057,,-27
7389,,,,,,19,26,24.1,N,13,1,26,5.74,0.47,0.04,  F6III,0.01,0.062,0.032,-34
7390,5,,Vul,,,19,26,13.2,N,20,5,52,5.63,-0.01,-0.04,  A0V,0.003,-0.035,,-21
7391,,,,2445,,19,26,28.7,N,19,53,29,5.81,1.55,1.99,  M0III,-0.001,-0.046,,-34
7392,,,,,,19,29,23.9,S,43,26,45,5.71,0.22,-0.01,  Am,0.096,-0.136,0.013,-31
7393,,Mu,Tel,,,19,30,34.5,S,55,6,36,6.3,0.45,,  F5V,0.033,-0.015,,9
7394,,Lam,UMi,,,17,16,56.8,N,89,2,16,6.38,1.57,1.79,  M1III,-0.023,-0.004,,2
7395,4,,Cyg,,,19,26,9.1,N,36,19,4,5.15,-0.12,-0.43,  B9pSi,0.005,0.014,-0.007,-22
7396,,,,,,19,27,33.9,N,14,16,57,6.32,-0.06,-0.51,  B4III,0.009,-0.002,,4
7397,,,,,,19,28,20.8,N,2,55,49,5.85,0.01,-0.39,  B6III,0.004,-0.006,,-14
7398,,,,2506,,19,29,52.2,S,26,59,8,5.52,1.12,1.35,  K3III,0.034,-0.041,0.045,-31
7399,,,,,,19,30,14.7,S,32,5,32,6.6,0.39,,  F3IV-V,0.083,-0.065,,8
7400,35,,Aql,,,19,29,1,N,1,57,1,5.8,0.08,0.07,  A0IVp,-0.003,-0.033,,12
7401,,,,,,19,25,46.7,N,58,1,38,6.6,-0.15,-0.56,  B8IV,-0.004,0.008,,-22
7402,,,,2503,,19,29,21.5,S,7,2,38,6.61,1.1,0.7,  F7-G1I-II,0.024,0.003,0.013,-7
7403,,,,,,19,27,36.5,N,37,56,28,6.34,-0.14,-0.74,  B3Ve,0.022,-0.013,,-28
7404,,,,,,19,29,18,N,0,14,46,6.25,1.32,1.38,  K2,0.007,-0.008,,-60
7405,6,Alp,Vul,,,19,28,42.3,N,24,39,54,4.44,1.5,1.81,  M0III,-0.125,-0.106,0.014,-86
7406,8,,Vul,,,19,28,57,N,24,46,7,5.81,1.03,0.87,  K0III,0,0.014,0.004,-27
7407,,,,,,19,29,22.1,N,14,35,45,5.56,1.05,0.91,  K0III,0.045,-0.026,,-40
7408,7,Iot1,Cyg,,,19,27,25.9,N,52,19,14,5.75,0,-0.01,  A1V,-0.014,-0.024,,2
7409,7,,Vul,,,19,29,20.9,N,20,16,47,6.33,-0.1,-0.52,  B5Vn,0.001,-0.02,,-37
7410,,,,,,19,30,54,S,21,18,44,6.13,0.12,,  A2,0.012,-0.017,,-21
7411,,,,,,19,32,53.8,S,53,11,9,5.75,0.3,0.2,  Fm,0.029,-0.013,,14
